Case,PosErr_mm,OriErr_deg,Iterations,Converged
1,9.92833020929689e-07,0,28,1
2,4.82689411074375e-07,0,25,1
3,3.97715063606403e-06,0,27,1
4,1.4208057327512e-05,0,23,1
5,1.40913029711185e-05,0,26,1
6,5.73109690567023e-06,0,29,1
7,7.01640592362468e-06,0,27,1
8,32.6579568741827,0.110801282731195,1500,0
